url,text,image
http://www.seattletimes.com/sports/golf/us-open-golfers-find-a-chamber-of-horrors-creative-challenges/,"Larry Stone: U.S. Open golfers find a chamber of horrors, creative challenges",http://static.seattletimes.com/wp-content/uploads/2015/06/usopenLOK28-300x200.jpg
http://www.seattletimes.com/sports/golf/players-reaction-to-chambers-bay-after-us-open-practice-rounds-is-mixed/,Players' reaction to Chambers Bay after U.S. Open practice rounds is mixed,http://static.seattletimes.com/wp-content/uploads/2015/06/bd62b84a-13bf-11e5-b0be-2c1d0b01cdf7-300x250.jpg
http://www.seattletimes.com/sports/golf/us-open-players-will-have-to-deal-with-daily-changes-in-course-setup/,U.S. Open players will have to deal with daily changes in course setup,http://static.seattletimes.com/wp-content/uploads/2015/06/e2bd7ce0-12fe-11e5-9bee-f707d46d3de7-300x192.jpg
http://www.seattletimes.com/sports/golf/chambers-basement-18th-hole-bunker-could-be-a-buster-if-golfers-arent-careful/,'Chambers Basement': 18th-hole bunker could be a buster if golfers aren’t careful,http://static.seattletimes.com/wp-content/uploads/2015/06/886a61de-113e-11e5-a64a-57a1e628df10-300x187.jpg
http://www.seattletimes.com/sports/golf/one-and-only/,One and only: The lone fir tree at Chambers Bay ready for its featured role,http://static.seattletimes.com/wp-content/uploads/2015/02/8d6a677e-bf0e-11e4-891b-c2fc162562e51-780x520.jpg
http://www.seattletimes.com/sports/golf/officials-hope-us-open-golfers-will-be-fans-of-fescue-grass-at-chambers-bay/,Officials hope U.S. Open golfers will be fans of fescue grass at Chambers Bay,http://static.seattletimes.com/wp-content/uploads/2015/05/bb4fcf54-002b-11e5-8dcf-5fe374535cf41-780x520.jpg
http://www.seattletimes.com/sports/golf/chambers-bay-set-to-join-the-elite-when-it-hosts-us-open/,Chambers Bay set to join the elite when it hosts U.S. Open,
http://www.seattletimes.com/sports/golf/tiger-woods-calls-chambers-bay-different-after-playing-us-open-course/,Tiger Woods calls Chambers Bay 'different' after playing U.S. Open course,
http://www.seattletimes.com/sports/golf/so-far-plenty-of-opinion-about-chambers-bay-as-a-us-open-course/,"So far, plenty of opinion about Chambers Bay as a U.S. Open course",
http://www.seattletimes.com/sports/golf/public-walking-trails-at-chambers-bay-golf-course-offer-unique-aspect/,Public walking trails at Chambers Bay Golf Course offers unique aspect,
http://www.seattletimes.com/sports/golf/open-notes-15/,Chambers Bay features the three longest par 4s in U.S. Open history,
http://www.seattletimes.com/sports/golf/a-fans-guide-to-the-us-open-at-chambers-bay/,A fan's guide to the U.S. Open at Chambers Bay,
